(ABS,"絶対値","数値の符号を無視して大きさだけを返す")
(ACCRINT,"利息","利付債券の経過利息を計算する")
(ACCRINTM,"利息","満期一括払い債券の利息を求める")
(ACOS,"余弦逆","余弦の値から角度を逆算する")
(ACOSH,"双曲余弦逆","双曲線余弦の逆関数を返す")
(ACOT,"余接逆","余接の値から角度を求める")
(ACOTH,"双曲余接逆","双曲線余接の逆関数を返す")
(ADDRESS,"セル参照","行列番号からセル参照文字列を作る")
(AGGREGATE,"集計","指定した集計処理を条件付きで行う")
(AMORDEGRC,"減価償却","定率法で減価償却費を計算する")
(AMORLINC,"減価償却","定額法で減価償却費を計算する")
(ARABIC,"数値変換","ローマ数字を通常の数値に変換する")
(AREAS,"参照領域","参照に含まれる領域の数を返す")
(ARRAYTOTEXT,"配列表示","配列を文字列としてまとめる")
(ASC,"文字種変換","全角文字を半角に変換する")
(ASIN,"正弦逆","正弦の値から角度を逆算する")
(ASINH,"双曲正弦逆","双曲線正弦の逆関数を返す")
(ATAN,"正接逆","正接の値から角度を求める")
(ATAN2,"正接逆","2つの値から角度を計算する")
(ATANH,"双曲正接逆","双曲線正接の逆関数を返す")
(AVEDEV,"偏差","平均との差の平均を求める")
(AVERAGE,"平均","数値の平均値を計算する")
(AVERAGEA,"平均","文字や論理値を含めて平均を出す")
(AVERAGEIF,"条件平均","条件に合う値の平均を求める")
(AVERAGEIFS,"条件平均","複数条件に合う値の平均を求める")
(BAHTTEXT,"通貨表記","数値をタイ語の金額表現に変換する")
(BASE,"基数変換","数値を指定した基数表記に変える")
(BESSELI,"特殊関数","修正ベッセル関数Iを計算する")
(BESSELJ,"特殊関数","ベッセル関数Jを計算する")
(BESSELK,"特殊関数","修正ベッセル関数Kを計算する")
(BESSELY,"特殊関数","ベッセル関数Yを計算する")
(BETA.DIST,"確率分布","ベータ分布の確率を求める")
(BETA.INV,"確率分布逆","ベータ分布の逆関数を求める")
(BETADIST,"確率分布","ベータ分布の確率を求める")
(BETAINV,"確率分布逆","ベータ分布の逆関数を求める")
(BIN2DEC,"進数変換","2進数を10進数に変換する")
(BIN2HEX,"進数変換","2進数を16進数に変換する")
(BIN2OCT,"進数変換","2進数を8進数に変換する")
(BINOM.DIST,"確率分布","二項分布の確率を計算する")
(BINOM.DIST.RANGE,"確率分布","二項分布の範囲確率を求める")
(BINOM.INV,"確率分布逆","二項分布の逆関数を返す")
(BINOMDIST,"確率分布","二項分布の確率を計算する")
